ID,C.1,C.2,C.3,Male,Intervention,M,Outcome
1,-0.560475647,-0.230177489,1.558708314,1,1,1,6.69293474
2,0.070508391,0.129287735,1.715064987,0,1,1,3.202488698
3,0.460916206,-1.265061235,-0.686852852,0,1,0,0.162088212
4,-0.44566197,1.224081797,0.359813827,0,1,1,1.920532725
5,0.400771451,0.110682716,-0.555841135,0,0,0,1.764459379
6,1.786913137,0.497850478,-1.966617157,0,0,0,0.595518315
7,0.701355902,-0.472791408,-1.067823706,1,0,1,1.987908556
8,-0.217974915,-1.026004448,-0.728891229,0,0,0,1.577860821
9,-0.625039268,-1.686693311,0.837787044,1,1,0,2.264835363
10,0.153373118,-1.138136937,1.253814921,0,0,1,3.655455523
11,0.426464221,-0.295071483,0.895125661,0,0,0,4.271491952
12,0.878133488,0.821581082,0.688640254,1,1,0,4.948533624
13,0.553917654,-0.061911711,-0.305962664,0,0,0,1.463531716
14,-0.380471001,-0.694706979,-0.207917278,0,0,0,0.21666951
15,-1.265396352,2.168955965,1.207961998,1,1,1,8.163111999
16,-1.123108583,-0.402884835,-0.466655354,0,0,1,1.052448019
17,0.779965118,-0.083369066,0.253318514,0,1,1,2.700577172
18,-0.028546755,-0.042870457,1.368602284,1,1,0,3.403433392
19,-0.225770986,1.516470604,-1.548752804,1,1,1,7.93070134
20,0.58461375,0.123854244,0.215941569,1,1,1,8.098073103
21,0.379639483,-0.502323453,-0.333207384,0,0,0,2.141058602
22,-1.018575383,-1.071791226,0.303528641,1,0,0,2.782660596
23,0.448209779,0.053004227,0.922267468,1,1,0,3.471858299
24,2.050084686,-0.491031166,-2.309168876,0,0,0,1.7984584
25,1.005738524,-0.709200763,-0.688008616,1,0,0,-0.314802991
26,1.02557137,-0.284773007,-1.220717712,1,0,0,0.635203012
27,0.18130348,-0.138891362,0.005764186,0,1,0,2.156239233
28,0.385280401,-0.370660032,0.644376549,0,0,0,1.40896704
29,-0.220486562,0.331781964,1.096839013,1,0,0,1.815787768
30,0.435181491,-0.325931586,1.148807618,0,0,0,0.38086552
31,0.993503856,0.54839696,0.238731735,0,1,1,4.227810838
32,-0.627906076,1.360652449,-0.600259587,1,0,0,1.188828019
33,2.187332993,1.532610626,-0.235700359,1,1,1,7.366781712
34,-1.0264209,-0.710406564,0.256883709,0,1,0,-0.076777574
35,-0.246691878,-0.347542599,-0.951618567,1,1,0,2.29743308
36,-0.045027725,-0.784904469,-1.667941937,0,0,0,0.91635846
37,-0.38022652,0.918996609,-0.575346963,0,1,0,1.328535736
38,0.607964322,-1.617882708,-0.055561966,0,0,0,0.273003625
39,0.519407204,0.301153362,0.105676194,1,1,0,3.507316493
40,-0.640706008,-0.849704346,-1.024128791,1,0,0,1.715267614
41,0.117646597,-0.947474614,-0.490557444,0,0,0,-1.668918021
42,-0.256092192,1.843862005,-0.651949902,1,0,0,2.533830531
43,0.235386572,0.07796085,-0.961856634,0,0,0,-0.924558815
44,-0.071308086,1.444550858,0.451504053,1,1,1,7.263475432
45,0.041232922,-0.422496832,-2.053247222,0,1,1,0.546453648
46,1.131337213,-1.460640071,0.739947511,0,0,0,0.461717153
47,1.909103569,-1.443893161,0.701784335,1,0,0,2.777831726
48,-0.262197489,-1.572144159,-1.514667654,0,1,0,0.985652143
49,-1.601536174,-0.530906522,-1.461755585,0,0,0,0.690210918
50,0.687916773,2.100108941,-1.287030476,0,0,1,0.257640307
51,0.787738847,0.769042241,0.332202579,1,0,0,1.818714932
52,-1.008376608,-0.119452607,-0.280395335,0,0,0,1.313914572
53,0.562989533,-0.372438756,0.976973387,0,0,0,2.122013483
54,-0.374580858,1.052711466,-1.049177007,0,1,0,0.143784152
55,-1.260155245,3.241039935,-0.416857588,1,1,1,8.487270144
56,0.298227592,0.636569674,-0.483780626,0,0,0,-0.294355392
57,0.516862044,0.368964527,-0.215380508,1,1,0,4.288659316
58,0.065293034,-0.034067254,2.128451899,0,1,0,0.88428432
59,-0.741336096,-1.095996267,0.037788399,1,0,0,1.562634124
60,0.310480749,0.436523479,-0.458365333,0,1,0,1.582452964
61,-1.063326134,1.263185176,-0.349650388,1,1,1,6.102905119
62,-0.865512863,-0.236279569,-0.197175894,0,0,0,1.853800508
63,1.10992029,0.084737292,0.754053785,1,1,1,7.669121951
64,-0.499292017,0.21444531,-0.324685911,0,1,0,1.882112138
65,0.094583528,-0.895363358,-1.310801533,0,0,0,0.746028139
66,1.997213385,0.600708824,-1.251271362,0,0,0,3.169617536
67,-0.611165917,-1.185480085,2.198810349,1,1,0,3.911607203
68,1.312412976,-0.265145057,0.543194059,0,0,0,3.47086676
69,-0.414339948,-0.476246895,-0.788602838,1,0,0,0.472340908
70,-0.594617267,1.650907467,-0.054028125,1,0,0,2.951400931
71,0.119245236,0.24368743,1.232475878,0,0,0,1.735315718
72,-0.516063831,-0.99250715,1.675696932,0,0,0,2.881230276
73,-0.441163217,-0.72306597,-1.236273119,0,0,0,-0.157811129
74,-1.284715722,-0.573973479,0.617985817,0,1,0,1.100261787
75,1.109848139,0.707588354,-0.363657297,1,0,1,3.944909831
76,0.059749937,-0.704596464,-0.717218162,1,1,1,4.404070903
77,0.884650499,-1.015592579,1.955293965,1,1,0,2.171251104
78,-0.090319594,0.214538827,-0.738527705,1,0,1,3.794875146
79,-0.57438869,-1.317016132,-0.182925388,1,0,0,1.526537266
80,0.418982405,0.324304344,-0.781536487,1,0,0,1.17773912
81,-0.788621971,-0.502198718,1.49606067,0,0,0,2.25208953
82,-1.137303621,-0.179051594,1.902361822,1,1,1,7.246444121
83,-0.100974885,-1.359840704,-0.664769435,0,0,0,1.087967021
84,0.485459979,-0.375602872,-0.561876364,0,1,1,4.627119822
85,-0.343917234,0.090496647,1.598508771,1,0,0,2.923809294
86,-0.088565112,1.080799496,0.630754116,1,1,0,3.566147031
87,-0.113639896,-1.532902003,-0.521117318,1,0,0,-0.535547613
88,-0.489870453,0.047154433,1.300198678,1,0,0,-0.289861759
